HTTrack3.49-2+htsswf+htsjava launched on Sat, 11 Aug 2018 14:05:44 at http://sacheefragrances.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" http://sacheefragrances.com/ -O1 "C:\Users\AJAY KUMAR\Google Drive\Camera Uploads\Website Creating Lang\sacheefragrances" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

14:13:58	Warning: 	File has moved from sacheefragrances.com/?p=23 to http://sacheefragrances.com/contact-us/enquiry/
14:13:58	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsacheefragrances.com%2Fcontact-us%2Fenquiry%2F (from sacheefragrances.com/contact-us/enquiry/)
14:13:58	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/contact-us/career/feed/ (from sacheefragrances.com/contact-us/career/)
14:13:58	Warning: 	Moved Permanently for sacheefragrances.com/?p=26
14:13:58	Warning: 	File has moved from sacheefragrances.com/?p=26 to http://sacheefragrances.com/contact-us/career/
14:13:58	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/themes/sacheefragranees/genericons/font/genericons-regular-webfont.eot (from sacheefragrances.com/wp-content/themes/sacheefragranees/genericons/genericons.css?ver=3.0.2)
14:13:58	Warning: 	Moved Permanently for sacheefragrances.com/?p=9
14:13:58	Warning: 	File has moved from sacheefragrances.com/?p=9 to http://sacheefragrances.com/about-us/company-brief/
14:14:18	Warning: 	Moved Permanently for sacheefragrances.com/?p=14
14:14:18	Warning: 	File has moved from sacheefragrances.com/?p=14 to http://sacheefragrances.com/fragrances/
14:14:18	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/2.png (from sacheefragrances.com/fragrances/)
14:14:21	Warning: 	Retry after error -4 (No data (connection closed)) at link sacheefragrances.com/wp-content/uploads/2014/08/2-150x150.png (from sacheefragrances.com/fragrances/)
